CF_Scaffold_ID,CF_Scaffold_SMILES,NATx_SMILES,NATx_ID,Substructure_SMILES,Chemotype
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(C(F)(F)F)cc3)no2)N(Cc2ccc(Cl)cc2)C1,NAT18-348521,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,N#Cc1cccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(C(F)(F)F)cc3)no2)c1,NAT18-348522,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(C(F)(F)F)cc3)no2)N(CC2CCCCC2)C1,NAT18-348523,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(C(F)(F)F)cc3)no2)N(C2CCCCC2)C1,NAT18-348524,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CN(C)c1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(C(F)(F)F)cc3)no2)cc1,NAT18-348526,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(C(F)(F)F)cc3)no2)N(Cc2ccc(F)cc2)C1,NAT18-348528,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,OCc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(C(F)(F)F)cc3)no2)o1,NAT18-348531,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(C(F)(F)F)cc3)no2)N(Cc2c[nH]c3ccccc23)C1,NAT18-348533,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CN1CCC(N2C[C@H](O)C[C@H]2c2nc(-c3ccc(C(F)(F)F)cc3)no2)CC1,NAT18-348539,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O=[N+]([O-])c1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(C(F)(F)F)cc3)no2)cc1,NAT18-348541,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
