COCONUT_Canonical_SMILES,CF_FRG,COCONUT_ID,COCONUT_NP_mol,CF_Mol,Name,IUPAC_Name,Synonyms,CAS,References,Ressource,Ressource_Ref,PubChem_ID,PubChem_CID,PubChem_Target_GI,PubChem_Target_Activity,PubChem_Target_Name,PubChem_Target_EC_Number,ChEMBL_ID_Similarity100,NP_Likeness,Dataset
COc1ccc(NC(=O)OC2COC3C(NS(=O)(=O)c4ccc(NC(C)=O)cc4)COC23)cc1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0031567,<rdkit.Chem.rdchem.Mol object at 0x784ff865d770>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693bc0>,"6-(4-acetamidobenzenesulfonamido)-hexahydrofuro[3,2-b]furan-3-yl N-(4-methoxyphenyl)carbamate","6-(4-acetamidobenzenesulfonamido)-hexahydrofuro[3,2-b]furan-3-yl N-(4-methoxyphenyl)carbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00008211, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73133210.0,,,,,,-0.8481258643332,COCONUT
CC(=O)c1ccc(NC(=O)OC2COC3C2OCC3n2nnnc2-c2ccccc2)cc1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0031599,<rdkit.Chem.rdchem.Mol object at 0x784ff865d7e0>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693c30>,"6-(5-phenyl-1H-1,2,3,4-tetrazol-1-yl)-hexahydrofuro[3,2-b]furan-3-yl N-(4-acetylphenyl)carbamate","6-(5-phenyl-1H-1,2,3,4-tetrazol-1-yl)-hexahydrofuro[3,2-b]furan-3-yl N-(4-acetylphenyl)carbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00009939, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73134307.0,,,,,,-1.258152351246,COCONUT
COC(=O)c1cccc(NC(=S)NC2COC3C(OC(=O)Nc4ccc(C(C)=O)cc4)COC23)c1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0031664,<rdkit.Chem.rdchem.Mol object at 0x784ff865d850>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693ca0>,"methyl 3-{[(6-{[(4-acetylphenyl)carbamoyl]oxy}-hexahydrofuro[3,2-b]furan-3-yl)carbamothioyl]amino}benzoate","methyl 3-{[(6-{[(4-acetylphenyl)carbamoyl]oxy}-hexahydrofuro[3,2-b]furan-3-yl)carbamothioyl]amino}benzoate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00007054, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73132266.0,,,,,,-0.9533542570909285,COCONUT
O=C(Nc1ccccc1)OC1COC2C1OCC2n1nnnc1SCc1ccco1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0031812,<rdkit.Chem.rdchem.Mol object at 0x784ff865d8c0>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693d10>,"6-(5-{[(furan-2-yl)methyl]sulfanyl}-1H-1,2,3,4-tetrazol-1-yl)-hexahydrofuro[3,2-b]furan-3-yl N-phenylcarbamate","6-(5-{[(furan-2-yl)methyl]sulfanyl}-1H-1,2,3,4-tetrazol-1-yl)-hexahydrofuro[3,2-b]furan-3-yl N-phenylcarbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00009906, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73134269.0,,,,,,-1.7782287319574832,COCONUT
N#Cc1cccc(NC(=S)NC2COC3C(OC(=O)Nc4cccc5ccccc45)COC23)c1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0032401,<rdkit.Chem.rdchem.Mol object at 0x784ff865d930>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693d80>,"6-{[(3-cyanophenyl)carbamothioyl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-(naphthalen-1-yl)carbamate","6-{[(3-cyanophenyl)carbamothioyl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-(naphthalen-1-yl)carbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00005389, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,,,,,,,-1.3358717276978034,COCONUT
CC(C)c1ccc(NC(=O)OC2COC3C(NC(=O)Nc4ccccc4)COC23)cc1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0032464,<rdkit.Chem.rdchem.Mol object at 0x784ff865d9a0>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693df0>,"6-[(phenylcarbamoyl)amino]-hexahydrofuro[3,2-b]furan-3-yl N-[4-(propan-2-yl)phenyl]carbamate","6-[(phenylcarbamoyl)amino]-hexahydrofuro[3,2-b]furan-3-yl N-[4-(propan-2-yl)phenyl]carbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00008234, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73133233.0,,,,,,-0.8141759766702097,COCONUT
O=C(Nc1cccc2ccccc12)OC1COC2C(NC(=S)Nc3cccc4ccccc34)COC12,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0032916,<rdkit.Chem.rdchem.Mol object at 0x784ff865da10>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693e60>,"6-{[(naphthalen-1-yl)carbamothioyl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-(naphthalen-1-yl)carbamate","6-{[(naphthalen-1-yl)carbamothioyl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-(naphthalen-1-yl)carbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00005387, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73130975.0,,,,,,-0.7062092517784251,COCONUT
O=C(Nc1ccccc1)OC1COC2C(NC(=O)C3CC3)COC12,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0033034,<rdkit.Chem.rdchem.Mol object at 0x784ff865da80>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693ed0>,"6-cyclopropaneamido-hexahydrofuro[3,2-b]furan-3-yl N-phenylcarbamate","6-cyclopropaneamido-hexahydrofuro[3,2-b]furan-3-yl N-phenylcarbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00008037, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73132979.0,,,,,,-0.8706785821038748,COCONUT
CC(C)c1ccc(NC(=O)OC2COC3C(NC(=S)Nc4ccc(Cl)cc4)COC23)cc1,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0033162,<rdkit.Chem.rdchem.Mol object at 0x784ff865daf0>,<rdkit.Chem.rdchem.Mol object at 0x784ff8693f40>,"6-{[(4-chlorophenyl)carbamothioyl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-[4-(propan-2-yl)phenyl]carbamate","6-{[(4-chlorophenyl)carbamothioyl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-[4-(propan-2-yl)phenyl]carbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00008251, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,74687510.0,,,,,,-0.9850316508007657,COCONUT
O=C(Nc1ccccc1)OC1COC2C(NC(=S)Nc3ccc(F)cc3)COC12,N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccccc1,CNP0033171,<rdkit.Chem.rdchem.Mol object at 0x784ff865db60>,<rdkit.Chem.rdchem.Mol object at 0x784ff8694040>,"6-{[(4-fluorophenyl)carbamothioyl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-phenylcarbamate","6-{[(4-fluorophenyl)carbamothioyl]amino}-hexahydrofuro[3,2-b]furan-3-yl N-phenylcarbamate",[],,,"['supernatural2', 'zincnp']","supernatural2, SN00008063, http://bioinf-applied.charite.de/supernatural_new/index.php?site=compound_search&id=",,73133009.0,,,,,,-1.164923658080931,COCONUT
